제목1,제목2,seq_score
2024학년도 여름 계절수업 전남대학교 학점교류 수학 안내,2024학년도 하계 계절수업 세종대학교 교류수학 안내,0.819672131147541
2015-1학기 집단상담 참여자 모집,2015-1학기 집단상담 참여자 모집 안내,0.926829268292683
2023년도 학생 e-루리 장애인식개선교육(법정의무교육) 수강 안내,2023년도 학생 대상 e-루리 폭력예방교육(법정의무교육) 수강 안내,0.8115942028985508
[안내]2020-2학기 KNU핵심역량장학금 선발 계획 안내,2020-2학기 KNU핵심역량장학금 선발 계획 안내,0.9642857142857144
2025학년도 1학기 학·석사 연계과정 모집 안내,2025학년도 2학기 학.석사 연계과정 신청 안내,0.8846153846153846
2021학년도 하계 계절수업 한양대학교 교류수학 안내,2021학년도 하계 계절수업 부산대학교 교류수학 안내-5.4.화까지,0.8571428571428571
2016학년도 롯데장학재단 장학생 선발 안내,2016학년도 아산사회복지재단 장학생 선발 안내,0.8
2021학년도 제1차 교내 졸업자격인증 모의토익 시험일자 안내,2021학년도 제1차 교내 졸업자격인증 모의토익 시험 안내,0.9696969696969696
2017 K-Engineering 디자인 캠프 참가학생 모집 안내,2017  K-Engineering 디자인 캠프 참가자 모집 안내(기간연장),0.9041095890410958
[한국문화관광연구원] 제4회 관광통계 인포그래픽 공모전,한국문화관광연구원 제4회 관광통계 인포그래픽 공모전 개최 안내,0.9032258064516128
학사과정 교육과정 편성 ․ 운영 진단 연구 공모 재공고,학사과정 교육과정 편성·운영 진단 연구 공모 재공고,0.9818181818181818
2022학년도 교원양성과정 제1차 응급처치 및 심폐소생술 실습 교육 안내,[교직] 2022학년도 교원양성과정 응급처치 및 심폐소생술 실습 교육 계획 공고,0.8292682926829268
2016학년도 1학기 사회봉사과목 수강 및 봉사활동 신청 안내(2/16~3/9),2016-1 사회봉사과목 수강 및 봉사활동 신청 안내,0.835820895522388
2022학년도 1학기 외국인 유학생 튜터링 프로그램 홍보,(1/16마감) 2022학년도 1학기 외국인 유학생 튜터링 프로그램 안내,0.8529411764705882
2022학년도 2학기 일반대학원 수업평가 안내,2022학년도 2학기 기말 수업평가 시행 안내,0.8
[대학원] 2025학년도 1학기 일반대학원 석사학위청구논문 대체인정 실적 심사 안내,[공지][대학원] 2025학년도 1학기 일반대학원 학위청구논문심사 안내,0.8354430379746836
2021학년도 하계 계절수업 국가유공자（본인） 수업료 면제 안내,2021학년도 하계 계절수업 국가유공자 본인의 계절수업료 면제 안내,0.9428571428571428
2021학년도 2학기 서울시립대학교 대학원 학점교류 운영 안내,2021학년도 2학기 충남대학교 대학원 학점교류 안내,0.8571428571428571
2015학년도 2학기 경상대학교 수학 안내,2015학년도 2학기 제주대학교 수학 안내,0.9130434782608696
[LINC3.0 사업단]강원대-한림대 LINC 3.0 사업단 모의경영  RPG 경진대회 운영 안내,강원대-한림대 LINC 3.0 사업단 모의경영 RPG 경진대회 운영 안내(5/8(월) 13시까지),0.8
(국가거점국립대학교) 2023학년도 1학기 전남대학교 교류 수학 안내,(국가거점국립대학교) 2023학년도 1학기 경상국립대학교 교류 수학 안내,0.918918918918919
(10/27마감) 대학일자리센터 특화프로그램 <공모전 대비 온라인 특강> 안내,대학일자리센터 특화프로그램 _공모전 대비 온라인 특강_ 안내,0.8732394366197183
2023학년도 하계 계절수업 서울대학교 교류수학 안내,2023학년도 여름 계절수업 한양대학교 교류수학 안내,0.8620689655172413
2022 KNU 하계 부트캠프 『아이컨택; ICT』신청 안내,2022년도 KNU 하계 부트캠프 『아이컨택; ICT』 신청 안내,0.9523809523809524
2023-2 유한재단 신규장학생 선발 안내,2023학년도 2학기 유한재단 신규장학생 선발 안내(2차),0.8461538461538461
강원도 대학생 혁신창업 아이디어 캠프(코너스톤 연계) 추가 모집 안내,(11/15마감) 강원도 대학생 혁신창업 아이디어 캠프(코너스톤 연계) 추가 모집 안내,0.9113924050632912
"2024년 [학내 마음건강 지원 1,2학년 온라인 심리검사] 운영 안내","2024학년도 「학내 마음건강 지원 1,2학년 온라인 심리검사」 운영 안내",0.972972972972973
2016학년도 1학기 경상대학교 수학 안내,2016학년도 1학기 서울대학교 수학 안내,0.9130434782608696
KNU 미래도서관 실감영상 콘텐츠 공모전 안내,[국립대학육성사업] KNU미래도서관 실감영상 콘텐츠 공모전 안내,0.8275862068965517
2021-2 등록금 재학생 2차 추가납부 및 수업연한초과자 납부기간,2021-2 등록금 재학생 2차 추가납부 및 수업연한초과자 납부기간 알림,0.96
2024 KNU 코딩 캠프 『뒤풀이; The Free』 모집 안내,2024 KNU 코딩 캠프; 뒤풀이(The Free) 재학생 참가자 모집,0.8285714285714286
[학부]2017학년도 1학기 특별장학금 장학생 선발계획 안내,2017학년도 1학기 특별장학금 장학생 선발계획 안내(4/27까지),0.8923076923076924
2019학년도 1학기 충남대학교 학점교류 안내,2019학년도 1학기 서울시립대 학점교류 안내,0.84
2024학년도 2학기 재학생 등록금 수납계획 알림,[등록]2024학년도 2학기 재학생 등록금 수납 계획 안내,0.8771929824561403
2021 하계 계절수업 경상국립대학교 교류수학 안내,2021학년도 하계 계절수업 서울대학교 교류수학 안내,0.8421052631578947
2019학년도 2학기 학부생 재입학 모집 계획 알림,2019학년도 2학기 학부생 재입학 모집,0.88
[장학]2021학년도 1학기 춘천지역로타리장학재단 장학생 선발 안내,2021학년도 1학기 춘천지역로타리장학재단 장학생 선발 안내,0.9705882352941176
2021학년도 2학기 경상국립대학교 교류 수학 안내,2021학년도 2학기 서울시립대학교 교류 수학 안내-7.19.월까지,0.8064516129032258
2015학년도 1학기 한국교원대학교 수학 안내,2015학년도 1학기 강릉원주대학교 수학 안내,0.88
2020학년도 하계 계절수업 숙명여자대학교 교류수학 안내,2020학년도 하계 계절수업 인하대학교 학점 교류 수학 안내-5.15,0.8059701492537313
"2023년도 ""농식품산업 관련 아이디어 경진대회"" 참가자 모집",2023년도 「농식품산업 관련 아이디어 경진대회」안내,0.847457627118644
"2021-1학기 국가장학금Ⅱ유형 긴급 지원(실직, 폐업) 장학생 선발","2021-1학기 국가장학금Ⅱ유형 긴급 지원(실직,폐업) 장학생 선발 기간 연장 안내",0.868421052631579
2024-1학기 재학생 등록금 4차 추가 납부기간 안내,2024학년도 1학기 재학생 등록금 4차（마지막） 추가 납부기간 안내,0.8923076923076924
(8/11마감) [교육혁신본부] 2024학년도 하계 도파밍 리더십 캠프 모집 안내,2024학년도 하계 도파밍 리더십 캠프 모집 안내,0.8059701492537313
2023학년도 2학기 국가장학금 1차 신청 안내,2023년 2학기 국가장학금 1차 신청 안내,0.96
2014학년도 대학 신입생 우선면제 대상자 장학 안내,2014학년도 대학 신입생 우선면제 대상자 장학안내,0.9824561403508772
2025년 도서관 곰두리 캐릭터 공모전 안내,(6/13마감) 2025년 도서관 곰두리 캐릭터 공모전 안내,0.8888888888888888
(5/29마감) 2022학년도 1학기 「KNU 직무박람회」 개최 안내,2022학년도 1학기 KNU 직무박람회 개최 안내,0.9
(4/1마감) 2022. 1차 정보화 활용능력 향상 프로그램 운영 안내,2022. 1차 정보화 활용능력 향상 프로그램 운영 안내,0.9230769230769232
「2025 캠퍼스 특허 유니버시아드(CPU) 대회 설명회 개최」 안내 및 홍보,‘2025 캠퍼스 특허 유니버시아드(CPU)’ 대회 설명회 개최 안내,0.9315068493150684
2021학년도 2학기 강릉원주대학교 일반대학원 학점교류 안내,2021학년도 2학기 경북대학교 대학원 학점교류 운영 안내,0.8307692307692308
2020-1학기 학습역량회복지원 「러닝코어」프로그램 사업 공고,[대학혁신지원사업]2020-1학기 학습역량회복지원 「러닝코어」프로그램 사업 공고,0.8857142857142857
